keywords,title,url,references,citation
**Model Names:**,Learning to name classes for vision and language models,http://openaccess.thecvf.com/content/CVPR2023/html/Parisot_Learning_To_Name_Classes_for_Vision_and_Language_Models_CVPR_2023_paper.html,"Parisot, S., Yang, Y., & McDonagh, S. (2023). Learning to name classes for vision and language models. 2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), 23477–23486. https://doi.org/10.1109/cvpr52729.2023.02248",Parisot et al. (2023)
**Model Names:**,What's in a name? evaluating assembly-part semantic knowledge in language models through user-provided names in computer aided design files,https://asmedigitalcollection.asme.org/computingengineering/article-abstract/24/1/011002/1163204,"Meltzer, P., Lambourne, J. G., & Grandi, D. (2023). What’s in a name? Evaluating Assembly-Part semantic knowledge in language models through User-Provided names in computer aided design files. Journal of Computing and Information Science in Engineering, 24(1). https://doi.org/10.1115/1.4062454",Meltzer et al. (2023)
**Preprocessing Techniques:**,New data preprocessing trends based on ensemble of multiple preprocessing techniques,https://www.sciencedirect.com/science/article/pii/S0165993620302740,"Mishra, P., Biancolillo, A., Roger, J. M., Marini, F., & Rutledge, D. N. (2020). New data preprocessing trends based on ensemble of multiple preprocessing techniques. TrAC Trends in Analytical Chemistry, 132, 116045. https://doi.org/10.1016/j.trac.2020.116045",Mishra et al. (2020)
**Preprocessing Techniques:**,A comprehensive review on data preprocessing techniques in data analysis,https://dergipark.org.tr/en/pub/pajes/issue/69632/1110427,"Çetin, V., & Yıldız, O. (2022). A comprehensive review on data preprocessing techniques in data analysis. Pamukkale University Journal of Engineering Sciences, 28(2), 299–312. https://doi.org/10.5505/pajes.2021.62687",Çetin and Yıldız (2022)
AttentionCNN,Stock price prediction using CNN-BiLSTM-Attention model,https://www.mdpi.com/2227-7390/11/9/1985,"Zhang, J., Ye, L., & Lai, Y. (2023). Stock price prediction using CNN-BILSTM-Attention model. Mathematics, 11(9), 1985. https://doi.org/10.3390/math11091985",Zhang et al. (2023)
AttentionCNN,Attention mechanisms in CNN-based single image super-resolution: A brief review and a new perspective,https://www.mdpi.com/2079-9292/10/10/1187,"Zhu, H., Xie, C., Fei, Y., & Tao, H. (2021). Attention Mechanisms in CNN-Based Single Image Super-Resolution: A Brief review and a new perspective. Electronics, 10(10), 1187. https://doi.org/10.3390/electronics10101187",Citation not found
Average Word Length Calculation,Investigating minimum text lengths for lexical diversity indices,https://www.sciencedirect.com/science/article/pii/S1075293520300660,"Zenker, F., & Kyle, K. (2020). Investigating minimum text lengths for lexical diversity indices. Assessing Writing, 47, 100505. https://doi.org/10.1016/j.asw.2020.100505",Zenker and Kyle (2020)
Average Word Length Calculation,Expanding horizons of cross-linguistic research on reading: The Multilingual Eye-movement Corpus (MECO),https://link.springer.com/article/10.3758/s13428-021-01772-6,"Siegelman, N., Schroeder, S., Acartürk, C., Ahn, H., Alexeeva, S., Amenta, S., Bertram, R., Bonandrini, R., Brysbaert, M., Chernova, D., Da Fonseca, S. M., Dirix, N., Duyck, W., Fella, A., Frost, R., Gattei, C. A., Kalaitzi, A., Kwon, N., Lõo, K., . . . Kuperman, V. (2022). Expanding horizons of cross-linguistic research on reading: The Multilingual Eye-movement Corpus (MECO). Behavior Research Methods, 54(6), 2843–2863. https://doi.org/10.3758/s13428-021-01772-6",Siegelman et al. (2022)
Contractions Expansion,Global correlates of range contractions and expansions in terrestrial mammals,https://www.nature.com/articles/s41467-020-16684-w,"Pacifici, M., Rondinini, C., Rhodes, J. R., Burbidge, A. A., Cristiano, A., Watson, J. E. M., Woinarski, J. C. Z., & Di Marco, M. (2020). Global correlates of range contractions and expansions in terrestrial mammals. Nature Communications, 11(1). https://doi.org/10.1038/s41467-020-16684-w",Pacifici et al. (2020)
Contractions Expansion,US business cycle expansions and contractions,https://elischolar.library.yale.edu/cgi/viewcontent.cgi?article=9239&context=ypfs-documents,Not available,Not available
Data Type Conversion,"Gfastats: conversion, evaluation and manipulation of genome sequences using assembly graphs",https://academic.oup.com/bioinformatics/article-abstract/38/17/4214/6633308,"Formenti, G., Abueg, L., Brajuka, A., Brajuka, N., Gallardo, C., Giani, A., Fedrigo, O., & Jarvis, E. D. (2022). Gfastats: conversion, evaluation and manipulation of genome sequences using assembly graphs. bioRxiv (Cold Spring Harbor Laboratory). https://doi.org/10.1101/2022.03.24.485682",Formenti et al. (2022)
Data Type Conversion,Rapid and accurate alignment of nucleotide conversion sequencing reads with HISAT-3N,https://genome.cshlp.org/content/31/7/1290.short,"Zhang, Y., Park, C., Bennett, C., Thornton, M., & Kim, D. (2021). Rapid and accurate alignment of nucleotide conversion sequencing reads with HISAT-3N. Genome Research, 31(7), 1290–1295. https://doi.org/10.1101/gr.275193.120",Zhang et al. (2021)
Digits Count,Nanocryotron ripple counter integrated with a superconducting nanowire single-photon detector for megapixel arrays,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.22.024020,"Castellani, M., Medeiros, O., Foster, R. A., Buzzi, A., Colangelo, M., Bienfang, J. C., Restelli, A., & Berggren, K. K. (2024). Nanocryotron ripple counter integrated with a superconducting nanowire single-photon detector for megapixel arrays. Physical Review Applied, 22(2). https://doi.org/10.1103/physrevapplied.22.024020",Castellani et al. (2024)
Digits Count,Deep learning-based extraction of algorithmic metadata in full-text scholarly documents,https://www.sciencedirect.com/science/article/pii/S0306457319312610,"Safder, I., Hassan, S., Visvizi, A., Noraset, T., Nawaz, R., & Tuarob, S. (2020). Deep learning-based extraction of algorithmic metadata in Full-Text scholarly documents. Information Processing & Management, 57(6), 102269. https://doi.org/10.1016/j.ipm.2020.102269",Safder et al. (2020)
DistilBertForSequenceClassification,A BERT-based transfer learning approach to text classification on software requirements specifications.,https://assets.pubpub.org/rrc10aja/31621568150182.pdf,"Kici, D., Malik, G., Cevik, M., Parikh, D., Data Science Lab, Ryerson University, & IBM. (2021). A BERT-based transfer learning approach to text classification on software requirements specifications. In The 34th Canadian Conference on Artificial Intelligence [Conference-proceeding]. https://assets.pubpub.org/rrc10aja/31621568150182.pdf",Kici et al. (2021)
DistilBertForSequenceClassification,Text classification: Neural networks vs machine learning models vs pre-trained models,https://arxiv.org/abs/2412.21022,"Sufian, M. M., Moung, E. G., Dargham, J. A., Yahya, F., & Omatu, S. (2022). Pre-trained Deep Learning Models for COVID19 Classification: CNNs vs. Vision Transformer. 2022 IEEE International Conference on Artificial Intelligence in Engineering and Technology (IICAIET), 2017 decem, 1–6. https://doi.org/10.1109/iicaiet55139.2022.9936852",Sufian et al. (2022)
Emoji Removal,Impact of emoji exclusion on the performance of Arabic sarcasm detection models,https://arxiv.org/abs/2405.02195,"Aleryani, G., Deabes, W., Albishre, K., & Abdel-Hakim, A. E. (2024). Impact of emojis exclusion on the performance of Arabic sarcasm detection models. International Journal of Advanced Computer Science and Applications, 15(8). https://doi.org/10.14569/ijacsa.2024.01508127",Aleryani et al. (2024)
Emoji Removal,No more one liners: Bringing context into emoji recommendations,https://dl.acm.org/doi/abs/10.1145/3373146,"Kim, J., Gong, T., Kim, B., Park, J., Kim, W., Huang, E., Han, K., Kim, J., Ko, J., & Lee, S. (2020). No more one liners. ACM Transactions on Social Computing, 3(2), 1–25. https://doi.org/10.1145/3373146",Kim et al. (2020)
FocusCNN,DeepBtoD: improved RNA-binding proteins prediction via integrated deep learning,https://www.worldscientific.com/doi/abs/10.1142/S0219720022500068,"Du, X., Zhao, X., & Zhang, Y. (2022). DeepBtoD: Improved RNA-binding proteins prediction via integrated deep learning. Journal of Bioinformatics and Computational Biology, 20(04). https://doi.org/10.1142/s0219720022500068",Du et al. (2022)
FocusCNN,Medical image fusion using Transfer Learning and L‐BFGS optimization algorithm,https://onlinelibrary.wiley.com/doi/abs/10.1002/ima.22560,"Jiang, J., Feng, X., Hu, Z., Hu, X., Liu, F., & Huang, H. (2021). Medical image fusion using Transfer Learning and L‐BFGS optimization algorithm. International Journal of Imaging Systems and Technology, 31(4), 2003–2013. https://doi.org/10.1002/ima.22560",Jiang et al. (2021)
Lemmatization,An overview of stemming and lemmatization techniques,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003430421-31/overview-stemming-lemmatization-techniques-vinay-kumar-pant-rupak-sharma-shakti-kundu,"Pant, V. K., Sharma, R., & Kundu, S. (2024). An overview of Stemming and Lemmatization Techniques. In CRC Press eBooks (pp. 308–321). https://doi.org/10.1201/9781003430421-31",Pant et al. (2024)
